ID,Description,Created,Done
1,My new task,2024-12-18T16:45:19-05:00,true
2,Finish this video,2024-12-18T16:45:26-05:00,true
3,Find a video editor,2024-12-18T16:45:31-05:00,true
4,Prepare presentation slides,2024-12-18T17:15:45-05:00,true
5,Prepare presentation slides,2024-12-18T17:15:45-05:00,true
6,Schedule a meeting with the team,2024-12-19T09:00:30-05:00,true
7,Research about AI trends,2024-12-19T10:25:50-05:00,false
8,Edit project proposal,2024-12-19T11:45:10-05:00,true
9,Plan weekend trip,2024-12-20T08:30:00-05:00,true
10,Update portfolio website,2024-12-20T09:15:20-05:00,true
11,Brainstorm app ideas,2024-12-20T10:45:35-05:00,false
12,Test new app features,2024-12-20T11:55:45-05:00,true
13,Clean workspace,2024-12-21T14:00:00-05:00,false
14,Organize files on desktop,2024-12-21T15:10:15-05:00,true
15,Buy groceries,2024-12-22T16:30:25-05:00,true
16,Write thank-you emails,2024-12-22T18:45:00-05:00,true
17,Practice JavaScript coding,2024-12-23T09:00:00-05:00,true
18,Review job applications,2024-12-23T11:20:30-05:00,true
19,complete dev,2024-12-28T12:54:42+05:30,true
